transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost
1,2,2950,2017-02-25,False,Approved,Solex,Standard,medium,medium,"71,49","53,62"
2,3,3120,2017-05-21,True,Approved,Trek Bicycles,Standard,medium,large,"2091,47","388,92"
3,37,402,2017-10-16,False,Approved,OHM Cycles,Standard,low,medium,"1793,43","248,82"
4,88,3135,2017-08-31,False,Approved,Norco Bicycles,Standard,medium,medium,"1198,46","381,10"
5,78,787,2017-10-01,True,Approved,Giant Bicycles,Standard,medium,large,"1765,3","709,48"
6,25,2339,2017-03-08,True,Approved,Giant Bicycles,Road,medium,medium,"1538,99","829,65"
7,22,1542,2017-04-21,True,Approved,WeareA2B,Standard,medium,medium,"60,34","45,26"
8,15,2459,2017-07-15,False,Approved,WeareA2B,Standard,medium,medium,"1292,84","13,44"
9,67,1305,2017-08-10,False,Approved,Solex,Standard,medium,large,"1071,23","380,74"
10,12,3262,2017-08-30,True,Approved,WeareA2B,Standard,medium,medium,"1231,15","161,60"
11,5,1986,2017-01-17,False,Approved,Trek Bicycles,Mountain,low,medium,"574,64","459,71"
12,61,2783,2017-01-05,True,Approved,OHM Cycles,Standard,low,medium,"71,16","56,93"
13,35,1243,2017-02-26,True,Approved,Trek Bicycles,Standard,low,medium,"1057,51","154,40"
14,16,2717,2017-09-10,False,Approved,Norco Bicycles,Standard,high,small,"1661,92","1479,11"
15,12,247,2017-06-11,False,Approved,Giant Bicycles,Standard,medium,large,"1765,3","709,48"
16,3,2961,2017-10-10,False,Approved,Trek Bicycles,Standard,medium,large,"2091,47","388,92"
17,79,2426,2017-04-03,False,Approved,Norco Bicycles,Standard,medium,medium,"1555,58","818,01"
18,33,1842,2017-06-02,False,Approved,Giant Bicycles,Standard,medium,small,"1311,44","1167,18"
19,54,2268,2017-04-06,True,Approved,WeareA2B,Standard,medium,medium,"1292,84","13,44"
20,25,3002,2017-01-28,True,Approved,Giant Bicycles,Road,medium,medium,"1538,99","829,65"
21,27,1582,2017-10-09,False,Approved,Trek Bicycles,Standard,medium,medium,"499,53","388,72"
22,37,595,2017-06-29,True,Approved,OHM Cycles,Standard,low,medium,"1793,43","248,82"
23,37,2001,2017-04-08,True,Approved,OHM Cycles,Standard,low,medium,"1793,43","248,82"
24,82,515,2017-10-18,False,Approved,Giant Bicycles,Road,medium,medium,"1538,99","829,65"
25,89,2822,2017-06-11,False,Approved,WeareA2B,Touring,medium,large,"1362,99","57,74"
26,64,2596,2017-01-10,False,Approved,Trek Bicycles,Standard,medium,large,"1469,44","596,55"
27,64,2666,2017-04-11,True,Approved,Trek Bicycles,Standard,medium,large,"1469,44","596,55"
28,19,76,2017-12-23,False,Approved,Trek Bicycles,Mountain,low,medium,"574,64","459,71"
29,72,3368,2017-10-13,True,Approved,Norco Bicycles,Standard,medium,medium,"360,4","270,30"
30,91,1173,2017-03-15,False,Approved,WeareA2B,Standard,low,medium,"642,31","513,85"
31,88,2810,2017-09-05,True,Approved,Norco Bicycles,Standard,medium,medium,"1198,46","381,10"
32,1,3214,2017-02-18,False,Approved,Giant Bicycles,Standard,medium,medium,"1403,5","954,82"
33,25,1272,2017-03-20,False,Approved,Giant Bicycles,Road,medium,medium,"1538,99","829,65"
34,99,2003,2017-02-28,True,Approved,Trek Bicycles,Road,low,small,"1720,7","1531,42"
35,0,2171,2017-08-20,False,Approved,Norco Bicycles,Road,medium,medium,"544,05","376,84"
36,92,3356,2017-07-07,False,Approved,WeareA2B,Standard,medium,small,"1415,01","1259,36"
37,14,1040,2017-01-09,False,Approved,Solex,Standard,high,large,"1842,92","1105,75"
38,2,2916,2017-12-06,False,Approved,Solex,Standard,medium,medium,"71,49","53,62"
39,12,427,2017-09-12,False,Approved,WeareA2B,Standard,medium,medium,"1231,15","161,60"
40,0,2448,2017-11-28,True,Approved,Norco Bicycles,Road,medium,medium,"544,05","376,84"
41,44,2570,2017-05-08,True,Approved,WeareA2B,Standard,medium,medium,"1769,64","108,76"
42,79,3398,2017-05-14,False,Approved,Solex,Touring,medium,large,"2083,94","675,03"
43,76,488,2017-03-17,False,Cancelled,WeareA2B,Standard,low,medium,"642,31","513,85"
44,46,165,2017-12-22,False,Approved,Solex,Standard,low,medium,"1289,85","74,51"
45,55,2787,2017-06-07,True,Approved,Trek Bicycles,Road,medium,large,"1894,19","598,76"
46,66,3053,2017-06-20,False,Approved,Solex,Standard,medium,medium,"1163,89","589,27"
47,35,475,2017-05-07,True,Approved,Trek Bicycles,Standard,low,medium,"1057,51","154,40"
48,81,1305,2017-06-10,True,Approved,Solex,Standard,medium,medium,"1151,96","649,49"
49,86,1251,2017-06-17,False,Approved,OHM Cycles,Standard,medium,medium,"235,63","125,07"
50,32,3103,2017-05-10,False,Approved,Giant Bicycles,Standard,medium,medium,"642,7","211,37"
51,77,3108,2017-03-24,False,Approved,Norco Bicycles,Road,medium,large,"1240,31","795,10"
52,96,857,2017-11-27,False,Approved,Giant Bicycles,Standard,medium,large,"1635,3","993,66"
